document_id,publication_document_id,model,corpus,topic_id,topic_probability,second_topic_id,second_topic_probability,probability_margin,is_outlier,is_ambiguous,year,language,title,doi,source,corpus_unit,topic_original,topic_after_outlier_reduction,outlier_reassigned,original_topic,outlier_probability,suggested_topic,reassignment_method,reassignment_confidence,silhouette,distance_to_centroid,local_consistency
doi:10.46498/reduipb.v25i1.1462,doi:10.46498/reduipb.v25i1.1462,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.12800465376890588,37,0.037193225063796694,0.09081142870510919,True,True,2021,es,Gestión escolar y liderazgo del directivo: Aporte para la calidad educativa,10.46498/reduipb.v25i1.1462,OpenAlex,metadata,-1,-1,False,-1,0.8719953462310941,,,,,,0.5
doi:10.37811/cl_rcm.v5i5.841,doi:10.37811/cl_rcm.v5i5.841,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.07877365709708684,9,0.06272864305719131,0.016045014039895528,True,True,2021,es,El liderazgo directivo en la gestión escolar. Comparación de casos,10.37811/cl_rcm.v5i5.841,OpenAlex,metadata,-1,-1,False,-1,0.9212263429029132,,,,,,1.0
doi:10.37811/cl_rcm.v6i4.2809,doi:10.37811/cl_rcm.v6i4.2809,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.044708853490486096,15,0.04256797222613808,0.002140881264348013,True,True,2022,es,La gestión escolar: una revisión de las investigaciones,10.37811/cl_rcm.v6i4.2809,OpenAlex,metadata,-1,-1,False,-1,0.9552911465095139,,,,,,1.0
doi:10.15517/revedu.v45i1.40537,doi:10.15517/revedu.v45i1.40537,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.07338581927542788,37,0.044353056315314936,0.029032762960112944,True,True,2021,es,"Análisis del modelo de gestión escolar en instituciones educativas públicas multigrado de San Ignacio, Perú",10.15517/revedu.v45i1.40537,OpenAlex,metadata,-1,-1,False,-1,0.9266141807245721,,,,,,1.0
doi:10.26490/uncp.alboradaciencia.2021.1.975,doi:10.26490/uncp.alboradaciencia.2021.1.975,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.03251102991538894,20,0.02227514624265464,0.010235883672734303,True,True,2021,es,Planificación estratégica situacional en la gestión escolar de las instituciones educativas,10.26490/uncp.alboradaciencia.2021.1.975,OpenAlex,metadata,-1,-1,False,-1,0.9674889700846111,,,,,,1.0
doi:10.33386/593dp.2024.1-1.2266,doi:10.33386/593dp.2024.1-1.2266,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.14182130279156305,36,0.041726681283567796,0.10009462150799525,True,False,2024,es,Gestión escolar y calidad educativa,10.33386/593dp.2024.1-1.2266,OpenAlex,metadata,-1,-1,False,-1,0.858178697208437,,,,,,0.4
doi:10.33996/revistahorizontes.v7i30.655,doi:10.33996/revistahorizontes.v7i30.655,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.04083054318519949,35,0.037551346851645545,0.0032791963335539465,True,True,2023,es,Gestión escolar de los directivos en instituciones educativas: Revisión sistemática,10.33996/revistahorizontes.v7i30.655,OpenAlex,metadata,-1,-1,False,-1,0.9591694568148005,,,,,,1.0
doi:10.37843/rted.v16i2.389,doi:10.37843/rted.v16i2.389,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.016617697933146366,35,0.016550223133400266,6.74747997461006e-05,True,True,2023,es,Gestión Escolar en las Instituciones del Nivel Inicial,10.37843/rted.v16i2.389,OpenAlex,metadata,-1,-1,False,-1,0.9833823020668536,,,,,,1.0
doi:10.37811/cl_rcm.v8i2.10725,doi:10.37811/cl_rcm.v8i2.10725,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.07693808523138972,37,0.03309507131745322,0.043843013913936496,True,True,2024,es,Gestión Escolar para la mejora de la calidad educativa en la educación básica ecuatoriana,10.37811/cl_rcm.v8i2.10725,OpenAlex,metadata,-1,-1,False,-1,0.9230619147686103,,,,,,0.0
doi:10.37811/cl_rcm.v8i3.11546,doi:10.37811/cl_rcm.v8i3.11546,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.08397273051083098,21,0.02029531498058935,0.06367741553024163,True,True,2024,es,Incidencia de la Gestión Escolar en el Rendimiento Académico,10.37811/cl_rcm.v8i3.11546,OpenAlex,metadata,-1,-1,False,-1,0.916027269489169,,,,,,0.6
