model,topic_id,human_label,label_status,label_notes
BERTopic-METADATA-MULTILINGUAL,0,Enfoques y prácticas de liderazgo escolar,proposed_pending_documentary_validation,"El liderazgo es el objeto sustantivo común; reúne tradiciones transformacional, pedagógica e instruccional."
BERTopic-METADATA-MULTILINGUAL,1,Calidad educativa y mejora de la gestión escolar,proposed_pending_documentary_validation,La calidad y la mejora constituyen el eje; no se reduce a planificación estratégica ni a desempeño individual.
BERTopic-METADATA-MULTILINGUAL,2,Tecnologías digitales y sistemas de información para la gestión educativa,proposed_pending_documentary_validation,La tecnología es un medio transversal; IA forma un núcleo suficientemente específico en T9.
BERTopic-METADATA-MULTILINGUAL,3,Gestión escolar en contextos rurales y territoriales latinoamericanos,proposed_pending_documentary_validation,"El núcleo rural es claro, pero el segundo subtópico amplía el conjunto hacia estudios territoriales generales, especialmente Ecuador y Colombia."
BERTopic-METADATA-MULTILINGUAL,4,"Competencias directivas, desempeño docente y resultados de gestión",proposed_pending_documentary_validation,"Convergen variables de desempeño y gestión, aunque pueden coexistir mecanismos distintos: competencia directiva, desempeño docente y resultados."
BERTopic-METADATA-MULTILINGUAL,5,Gestión escolar inclusiva y atención a la diversidad,proposed_pending_documentary_validation,Inclusión y diversidad articulan el conjunto; algunos casos de participación requieren revisión fronteriza.
BERTopic-METADATA-MULTILINGUAL,6,Gestión y liderazgo escolar durante y después de la pandemia,proposed_pending_documentary_validation,El contexto de crisis sanitaria estructura de modo inequívoco la mayoría de los documentos.
BERTopic-METADATA-MULTILINGUAL,7,Planificación estratégica e innovación de la gestión escolar,proposed_pending_documentary_validation,"La planificación estratégica es el centro, pero la periferia contiene innovación general y algunos documentos de baja pertinencia."
BERTopic-METADATA-MULTILINGUAL,8,Género y desigualdades en el liderazgo y la gestión escolar,proposed_pending_documentary_validation,El núcleo documental es género y liderazgo; la evidencia revisada no justifica denominarlo racialización sin una submuestra específica.
BERTopic-METADATA-MULTILINGUAL,9,Inteligencia artificial y analítica de datos en la gestión educativa,proposed_pending_documentary_validation,IA y analítica distinguen este tópico de la digitalización general de T2; existen falsos positivos por la palabra inteligencia.
BERTopic-METADATA-MULTILINGUAL,10,Participación familiar y vínculo familia–escuela,proposed_pending_documentary_validation,El vínculo familia–escuela aparece de forma consistente en términos y documentos centrales.
BERTopic-METADATA-MULTILINGUAL,11,Gestión de internados y escuelas islámicas,proposed_pending_documentary_validation,"Es temáticamente coherente, pero muy concentrado por tradición institucional, país e idioma."
BERTopic-METADATA-MULTILINGUAL,12,"Políticas, normativas e historia del gobierno escolar en Argentina y América Latina",proposed_pending_documentary_validation,"Argentina, Buenos Aires y Córdoba dominan, pero el tópico incluye Chile, Brasil, Uruguay y Perú; no debe etiquetarse como exclusivamente argentino."
BERTopic-METADATA-MULTILINGUAL,13,"Bienestar, satisfacción y desempeño laboral del personal educativo",proposed_pending_documentary_validation,"Las variables laborales y de bienestar forman un eje consistente, aunque desempeño puede solaparse con T4."
