run_id,model_family,model_name,model_path,corpus_unit,language,generated_at,git_commit,configuration_hash,corpus_hash,status,is_latest_for_model,is_preferred_model,is_dashboard_active,is_archived,validation_status,notes
3f4de8ee8c0c96b1,BERTopic,BERTopic-METADATA-MULTILINGUAL,bertopic/metadata_multilingual/preferred_solution,metadata,multilingual,2026-07-31T02:58:30.998557+00:00,645d2b9a2df77dcc2fea129f04f3c51cf344d2f4,14297b327f6e1760de30bdf69244bc947292f356c05663d4d707737696984a4f,9450d4b8c7b5e675aef98dc38cc28621579673e6403bfe28b7fff1fd8f6a8b8e,preferred_provisional,True,True,True,False,pending_human_review,Modelo principal vigente; solución preferred_provisional de 14 macrotemas.
a5b3020aebf80c00,BERTopic,BERTopic-METADATA-MULTILINGUAL,bertopic/metadata_multilingual/archive/pre_unicode_fix,metadata,multilingual,2026-07-30T22:16:01.981579+00:00,79e359763377dddae6478855817c6b649b0536da,8dffdd4b5d46f33b490db3c8306f8deccd1e9638997ef9da231271c1040eb7e1,9450d4b8c7b5e675aef98dc38cc28621579673e6403bfe28b7fff1fd8f6a8b8e,historical_provisional,False,False,False,True,pending_human_review,Ejecución histórica excluida de las tablas principales.
a6ee71770c19524a,BERTopic,BERTopic-METADATA-MULTILINGUAL,bertopic/metadata_multilingual/archive/pre_unicode_fix/root_duplicates,metadata,multilingual,2026-07-30T22:16:01.981579+00:00,79e359763377dddae6478855817c6b649b0536da,8dffdd4b5d46f33b490db3c8306f8deccd1e9638997ef9da231271c1040eb7e1,9450d4b8c7b5e675aef98dc38cc28621579673e6403bfe28b7fff1fd8f6a8b8e,historical_provisional,False,False,False,True,pending_human_review,Ejecución histórica excluida de las tablas principales.
47bbd742d47a7c4e,STM,stm,stm,full_text,all,2026-07-30 20:33:35,10296bc8d757a3b3b96d3ceb91a58c3468dd8eb5,d5faa8034978e1a02eb4253db9c9b061c62c53d9570e3ed783a35b5f1fe9f871,,historical_provisional,True,False,False,True,pending_human_review,Ejecución histórica excluida de las tablas principales.
b8d796a336cf0da4,STM,STM-METADATA-EN,stm/metadata_en,metadata,en,2026-07-30 21:47:01,79e359763377dddae6478855817c6b649b0536da,548e2cb75209d880e7a84056eae09c95c5fcf59fdb0e487e363115babe975230,9450d4b8c7b5e675aef98dc38cc28621579673e6403bfe28b7fff1fd8f6a8b8e,provisional_fixed_k,False,False,False,True,pending_human_review,Ejecución histórica excluida de las tablas principales.
5adc9f83bb44b510,STM,STM-METADATA-EN,stm/metadata_en_corrected,metadata,en,2026-07-31 05:15:21,645d2b9a2df77dcc2fea129f04f3c51cf344d2f4,ee46ffd45bf931a085a7782a06530d431f9ce61367b5b6b3f21a36b49baad193,9450d4b8c7b5e675aef98dc38cc28621579673e6403bfe28b7fff1fd8f6a8b8e,stability_nonconverged,True,False,True,False,stability_nonconverged,Modelo comparativo vigente.
4a698655b149236d,STM,STM-METADATA-ES,stm/metadata_es,metadata,es,2026-07-30 21:44:36,79e359763377dddae6478855817c6b649b0536da,04a3eb8e8238085cb743af2424893e380ff0070977ecd6f6ecf55f457723b997,9450d4b8c7b5e675aef98dc38cc28621579673e6403bfe28b7fff1fd8f6a8b8e,provisional_fixed_k,False,False,False,True,pending_human_review,Ejecución histórica excluida de las tablas principales.
22ecf8acc6e3bd31,STM,STM-METADATA-ES,stm/metadata_es_corrected,metadata,es,2026-07-31 05:23:37,645d2b9a2df77dcc2fea129f04f3c51cf344d2f4,ee46ffd45bf931a085a7782a06530d431f9ce61367b5b6b3f21a36b49baad193,9450d4b8c7b5e675aef98dc38cc28621579673e6403bfe28b7fff1fd8f6a8b8e,stability_nonconverged,True,False,True,False,stability_nonconverged,Modelo comparativo vigente.
cfeff175c27b79a7,STM,STM-METADATA-PT,stm/metadata_pt,metadata,pt,2026-07-30 21:47:21,79e359763377dddae6478855817c6b649b0536da,548e2cb75209d880e7a84056eae09c95c5fcf59fdb0e487e363115babe975230,9450d4b8c7b5e675aef98dc38cc28621579673e6403bfe28b7fff1fd8f6a8b8e,provisional_fixed_k,False,False,False,True,pending_human_review,Ejecución histórica excluida de las tablas principales.
98600702f07dbabe,STM,STM-METADATA-PT,stm/metadata_pt_corrected,metadata,pt,2026-07-31 04:42:15,645d2b9a2df77dcc2fea129f04f3c51cf344d2f4,ee46ffd45bf931a085a7782a06530d431f9ce61367b5b6b3f21a36b49baad193,9450d4b8c7b5e675aef98dc38cc28621579673e6403bfe28b7fff1fd8f6a8b8e,exploratory_small_corpus_stability_nonconverged,True,False,True,False,exploratory_small_corpus_stability_nonconverged,Modelo comparativo vigente.
