model,model_path,corpus,run_id,is_latest_for_model,is_preferred_model,status,document_id,publication_document_id,topic_id,assignment_confidence,probability_margin,silhouette,distance_to_centroid,local_consistency,ambiguous,is_outlier,language,relevance_status,relevance_score,contamination_candidate
BERTopic-METADATA-MULTILINGUAL,bertopic/metadata_multilingual/preferred_solution,metadata,3f4de8ee8c0c96b1,True,True,preferred_provisional,doi:10.46498/reduipb.v25i1.1462,doi:10.46498/reduipb.v25i1.1462,-1,0.0,0.03217946384241617,,,1.0,False,True,es,included,1.026973,False
BERTopic-METADATA-MULTILINGUAL,bertopic/metadata_multilingual/preferred_solution,metadata,3f4de8ee8c0c96b1,True,True,preferred_provisional,doi:10.37811/cl_rcm.v5i5.841,doi:10.37811/cl_rcm.v5i5.841,0,0.9401518623975755,0.2984720403763863,0.574184,0.404047,1.0,False,False,es,included,1.02232,False
BERTopic-METADATA-MULTILINGUAL,bertopic/metadata_multilingual/preferred_solution,metadata,3f4de8ee8c0c96b1,True,True,preferred_provisional,doi:10.37811/cl_rcm.v6i4.2809,doi:10.37811/cl_rcm.v6i4.2809,1,0.9145347199403383,0.0989860235944546,0.277588,0.798484,1.0,False,False,es,included,1.016878,False
BERTopic-METADATA-MULTILINGUAL,bertopic/metadata_multilingual/preferred_solution,metadata,3f4de8ee8c0c96b1,True,True,preferred_provisional,doi:10.15517/revedu.v45i1.40537,doi:10.15517/revedu.v45i1.40537,-1,0.0,0.013959363987803397,,,0.4,False,True,es,included,1.011721,False
BERTopic-METADATA-MULTILINGUAL,bertopic/metadata_multilingual/preferred_solution,metadata,3f4de8ee8c0c96b1,True,True,preferred_provisional,doi:10.26490/uncp.alboradaciencia.2021.1.975,doi:10.26490/uncp.alboradaciencia.2021.1.975,7,0.9999788921939083,0.05268242908775267,0.404238,0.764551,1.0,False,False,es,included,1.011118,False
BERTopic-METADATA-MULTILINGUAL,bertopic/metadata_multilingual/preferred_solution,metadata,3f4de8ee8c0c96b1,True,True,preferred_provisional,doi:10.33386/593dp.2024.1-1.2266,doi:10.33386/593dp.2024.1-1.2266,-1,0.0,0.2325921647835188,,,0.4,False,True,es,included,1.009221,False
BERTopic-METADATA-MULTILINGUAL,bertopic/metadata_multilingual/preferred_solution,metadata,3f4de8ee8c0c96b1,True,True,preferred_provisional,doi:10.37811/cl_rcm.v6i6.4102,doi:10.37811/cl_rcm.v6i6.4102,1,1.0,1.0,0.49211,0.507665,1.0,False,False,es,included,1.012009,False
BERTopic-METADATA-MULTILINGUAL,bertopic/metadata_multilingual/preferred_solution,metadata,3f4de8ee8c0c96b1,True,True,preferred_provisional,doi:10.33996/revistahorizontes.v7i30.655,doi:10.33996/revistahorizontes.v7i30.655,-1,0.0,0.011798558457050995,,,0.6,False,True,es,included,1.017541,False
BERTopic-METADATA-MULTILINGUAL,bertopic/metadata_multilingual/preferred_solution,metadata,3f4de8ee8c0c96b1,True,True,preferred_provisional,doi:10.52080/rvgluz.27.97.5,doi:10.52080/rvgluz.27.97.5,-1,0.0,0.08147899991835775,,,0.4,False,True,es,included,1.006287,False
BERTopic-METADATA-MULTILINGUAL,bertopic/metadata_multilingual/preferred_solution,metadata,3f4de8ee8c0c96b1,True,True,preferred_provisional,doi:10.37811/cl_rcm.v8i6.14659,doi:10.37811/cl_rcm.v8i6.14659,3,1.0,1.0,0.390541,0.498337,1.0,False,False,es,included,1.012409,False
